Sterbjahr;Sterbewoche;Männer, AG 0-19 Jahre;Männer, AG 20-39 Jahre;Männer, AG 40-59 Jahre;Männer, AG 60-79 Jahre;Männer, AG 80+ Jahre;Frauen, AG 0-19 Jahre;Frauen, AG 20-39 Jahre;Frauen, AG 40-59 Jahre;Frauen, AG 60-79 Jahre;Frauen, AG 80+ Jahre
2021;1;<4;<4;83;886;1641;0;<4;50;420;2058
2021;2;<4;5;85;814;1405;<4;<4;34;423;1817
2020;10;0;0;<4;<4;0;0;0;0;0;0
2020;11;0;0;0;5;6;0;0;0;<4;5
2020;12;0;0;7;30;61;0;0;<4;13;49
2020;13;0;<4;21;152;217;0;<4;6;52;150
2020;14;0;5;49;317;461;0;<4;14;131;392
2020;15;0;<4;48;356;496;<4;0;17;174;644
2020;16;0;<4;37;355;476;0;<4;13;152;562
2020;17;<4;5;31;247;330;0;<4;10;101;443
2020;18;0;<4;26;175;218;0;<4;18;87;261
2020;19;0;4;14;117;146;0;0;4;52;180
2020;20;0;<4;21;92;89;0;0;5;43;104
2020;21;0;0;10;57;74;0;<4;6;30;96
2020;22;0;<4;7;40;33;0;0;<4;19;48
2020;23;0;<4;<4;18;34;0;0;5;12;41
2020;24;0;<4;<4;21;22;0;0;<4;12;13
2020;25;0;0;<4;16;11;0;0;<4;<4;15
2020;26;0;0;6;12;4;0;0;<4;9;20
2020;27;0;0;<4;12;5;0;0;<4;11;13
2020;28;0;0;6;7;6;0;0;0;5;4
2020;29;0;0;<4;9;5;0;0;0;<4;10
2020;30;0;0;5;9;8;0;0;<4;<4;7
2020;31;0;0;<4;13;8;0;0;0;<4;7
2020;32;0;<4;<4;7;11;0;0;<4;<4;5
2020;33;0;0;<4;8;11;0;0;0;<4;9
2020;34;0;0;<4;9;9;0;0;<4;4;15
2020;35;0;<4;5;12;4;0;0;<4;5;8
2020;36;0;0;<4;10;<4;0;<4;<4;<4;<4
2020;37;0;0;<4;6;10;0;0;<4;6;8
2020;38;0;0;4;9;17;0;<4;<4;6;15
2020;39;0;0;4;11;21;0;0;<4;8;20
2020;40;0;0;5;16;28;0;0;<4;4;26
2020;41;0;<4;<4;37;34;0;0;<4;13;32
2020;42;0;<4;6;37;89;0;0;4;20;79
2020;43;0;<4;8;71;132;0;<4;<4;41;146
2020;44;<4;<4;21;145;264;0;0;11;55;285
2020;45;0;<4;26;198;414;0;<4;8;108;463
2020;46;0;<4;39;261;565;0;<4;22;149;578
2020;47;0;<4;47;374;670;0;<4;18;185;774
2020;48;0;<4;56;461;855;0;<4;28;279;1132
2020;49;<4;<4;53;539;1038;<4;5;22;317;1321
2020;50;0;<4;82;664;1346;<4;<4;31;350;1680
2020;51;0;11;95;787;1629;0;<4;37;419;2060
2020;52;0;4;92;891;1759;0;<4;42;500;2259
2020;53;0;9;108;898;1690;<4;<4;45;473;2230
